Supplier_ID,Category,Order_Value_INR,Defect_Rate_Pct,Delay_Rate_Pct,Lead_Time_Days,Weather_Condition,Carrier_Type,Risk_Score,Risk_Level
SUPP_043,Electronics,1773358.61,6.56,12.56,11,Rain,Sea,51,Medium
SUPP_008,Electronics,6369181.83,0.78,11.86,59,Rain,Sea,53,Medium
SUPP_019,Textiles,5056205.77,12.86,20.1,5,Rain,Sea,75,High
SUPP_014,Packaging,752159.04,9.67,1.77,33,Snow,Sea,59,Medium
SUPP_004,Electronics,5775968.07,5.88,19.66,34,Snow,Sea,68,High
SUPP_003,Electronics,8215362.78,9.43,24.79,41,Storm,Air,79,High
SUPP_041,Packaging,2106509.38,4.18,7.22,47,Rain,Rail,16,Low
SUPP_036,Machinery,437683.17,9.31,10.76,27,Clear,Road,22,Low
SUPP_005,Raw Materials,3884696.38,10.26,10.88,52,Clear,Sea,58,Medium
SUPP_038,Textiles,4985572.67,10.42,11.1,12,Rain,Rail,58,Medium
SUPP_009,Electronics,7363956.89,12.07,9.18,11,Storm,Sea,59,Medium
SUPP_003,Packaging,7518616.78,12.12,29.72,49,Rain,Air,68,High
SUPP_043,Electronics,3751579.95,11.67,10.88,33,Storm,Rail,59,Medium
SUPP_040,Raw Materials,2424038.75,10.23,22.46,36,Rain,Air,58,Medium
SUPP_012,Machinery,3808402.42,8.06,15.4,26,Clear,Air,31,Low
SUPP_048,Packaging,3011469.99,1.59,2.55,42,Snow,Air,53,Medium
SUPP_018,Raw Materials,958302.43,4.86,28.55,53,Clear,Rail,48,Medium
SUPP_003,Machinery,4955605.29,1.34,3.66,13,Rain,Air,24,Low
SUPP_030,Packaging,5559345.37,3.27,28.44,17,Storm,Air,69,High
SUPP_015,Electronics,1178972.79,13.97,29.25,15,Rain,Rail,54,Medium
SUPP_022,Packaging,7383503.79,8.23,21.47,48,Clear,Sea,61,Medium
SUPP_023,Textiles,6895898.6,12.57,26.14,39,Snow,Sea,86,High
SUPP_002,Electronics,4289610.18,3.42,12.5,28,Storm,Air,31,Low
SUPP_038,Packaging,859420.37,1.36,29.61,49,Clear,Road,47,Medium
SUPP_039,Machinery,3737889.36,12.21,28.47,26,Storm,Sea,92,High
SUPP_028,Textiles,7546112.94,5.71,3.42,45,Clear,Rail,36,Medium
SUPP_037,Raw Materials,7065589.42,3.81,10.58,4,Storm,Road,47,Medium
SUPP_046,Machinery,162968.77,7.08,2.63,29,Clear,Air,7,Low
SUPP_024,Machinery,1219386.16,9.77,22.64,14,Clear,Sea,59,Medium
SUPP_040,Packaging,3779962.27,4.36,26.19,39,Clear,Sea,45,Medium
SUPP_033,Packaging,9634064.27,0.28,29.13,48,Snow,Sea,90,High
SUPP_026,Packaging,481837.79,13.88,27.65,37,Rain,Air,52,Medium
SUPP_027,Machinery,6969340.67,1.22,5.82,50,Rain,Sea,38,Medium
SUPP_026,Textiles,2980214.77,14.94,21.21,4,Clear,Sea,65,Medium
SUPP_019,Raw Materials,7384152.02,13.74,28.8,17,Snow,Sea,87,High
SUPP_030,Machinery,3975491.9,1.69,10.73,59,Snow,Air,48,Medium
SUPP_033,Machinery,4663799.13,5.36,17.93,29,Rain,Road,29,Low
SUPP_019,Textiles,9745228.34,14.79,21.25,18,Storm,Road,83,High
SUPP_049,Raw Materials,3129799.78,12.23,20.86,30,Storm,Air,82,High
SUPP_013,Raw Materials,9113725.49,12.36,28.54,6,Clear,Road,59,Medium
SUPP_016,Machinery,9195806.69,1.33,26.42,46,Clear,Rail,34,Low
SUPP_027,Textiles,312351.4,5.71,24.51,33,Rain,Rail,49,Medium
SUPP_032,Machinery,1546648.07,8.95,12.05,23,Rain,Air,36,Medium
SUPP_042,Electronics,8391370.61,7.08,13.03,2,Clear,Rail,30,Low
SUPP_015,Raw Materials,610936.19,12.98,24.57,32,Snow,Road,79,High
SUPP_036,Raw Materials,9966536.53,8.38,23.3,38,Clear,Rail,34,Low
SUPP_009,Machinery,8503991.54,3.79,14.07,47,Storm,Rail,45,Medium
SUPP_040,Textiles,9542807.72,9.13,7.63,50,Snow,Rail,52,Medium
SUPP_011,Machinery,6200375.99,5.44,4.29,27,Snow,Sea,41,Medium
SUPP_049,Raw Materials,4788296.43,12.49,9.93,2,Storm,Rail,66,High
SUPP_041,Raw Materials,9681338.97,1.42,23.96,18,Storm,Rail,60,Medium
SUPP_005,Packaging,4826457.37,6.37,23.76,15,Rain,Sea,46,Medium
SUPP_022,Packaging,8060194.44,13.56,18.9,35,Clear,Air,30,Low
SUPP_010,Raw Materials,6100474.1,9.59,17.09,52,Snow,Air,56,Medium
SUPP_046,Raw Materials,3515141.9,7.76,23.73,31,Clear,Rail,47,Medium
SUPP_027,Packaging,5259842.65,10.49,24.1,11,Snow,Rail,93,High
SUPP_004,Raw Materials,8428809.58,11.56,2.92,6,Snow,Rail,46,Medium
SUPP_050,Textiles,6227016.56,5.28,7.06,44,Clear,Rail,30,Low
SUPP_031,Electronics,3448553.94,8.11,14.34,17,Storm,Sea,60,Medium
SUPP_049,Machinery,1431330.37,9.65,6.27,57,Snow,Air,69,High
SUPP_032,Raw Materials,8973044.68,7.16,20.36,51,Storm,Rail,88,High
SUPP_032,Electronics,456642.73,2.62,9.08,23,Snow,Sea,50,Medium
SUPP_043,Machinery,5509717.33,8.06,11.32,47,Rain,Rail,36,Medium
SUPP_009,Textiles,1331046.56,5.02,10.33,27,Clear,Rail,34,Low
SUPP_038,Textiles,4837396.67,10.35,15.84,44,Clear,Road,60,Medium
SUPP_042,Machinery,657725.7,4.23,24.38,50,Rain,Rail,42,Medium
SUPP_012,Electronics,1885984.14,3.22,11.74,23,Storm,Rail,43,Medium
SUPP_021,Raw Materials,6201634.98,5.6,14.41,46,Snow,Sea,78,High
SUPP_022,Machinery,1520003.96,2.08,20.93,24,Storm,Rail,58,Medium
SUPP_017,Electronics,7508681.51,0.55,26.15,39,Snow,Road,52,Medium
SUPP_048,Textiles,4001780.13,1.66,22.38,29,Clear,Sea,34,Low
SUPP_015,Electronics,5661452.67,12.63,3.59,45,Clear,Road,59,Medium
SUPP_016,Raw Materials,8910746.44,8.94,20.69,4,Clear,Air,33,Low
SUPP_016,Raw Materials,5009499.88,1.4,16.58,35,Snow,Road,49,Medium
SUPP_037,Raw Materials,7467122.77,6.53,4.7,42,Snow,Sea,59,Medium
SUPP_050,Packaging,3662668.85,9.72,17.55,57,Rain,Road,52,Medium
SUPP_050,Raw Materials,3336967.39,14.01,1.22,22,Storm,Road,55,Medium
SUPP_038,Electronics,3685300.36,7.37,25.67,31,Storm,Rail,78,High
SUPP_026,Raw Materials,8972815.98,1.3,16.21,41,Clear,Air,19,Low
SUPP_007,Packaging,9824667.24,1.77,12.54,29,Clear,Road,15,Low
SUPP_023,Textiles,8661795.9,12.27,8.48,57,Snow,Sea,75,High
SUPP_005,Textiles,6703000.04,13.95,17.15,9,Storm,Road,78,High
SUPP_027,Machinery,8393896.46,3.16,29.07,5,Clear,Rail,33,Low
SUPP_024,Machinery,2035093.93,11.07,16.37,2,Rain,Rail,48,Medium
SUPP_012,Textiles,2921874.0,8.76,5.48,37,Storm,Rail,42,Medium
SUPP_030,Machinery,5349264.85,0.87,10.76,11,Storm,Sea,44,Medium
SUPP_016,Electronics,680580.96,14.85,10.35,3,Storm,Rail,74,High
SUPP_016,Machinery,2583674.51,10.25,23.05,12,Snow,Sea,94,High
SUPP_002,Machinery,4742183.08,6.24,11.12,50,Storm,Air,59,Medium
SUPP_032,Raw Materials,8314663.11,14.48,4.6,57,Storm,Sea,80,High
SUPP_022,Packaging,9386487.55,2.8,2.93,41,Storm,Road,61,Medium
SUPP_034,Raw Materials,528541.71,11.74,25.01,38,Clear,Air,53,Medium
SUPP_047,Machinery,8005394.45,12.39,6.41,20,Snow,Air,58,Medium
SUPP_045,Machinery,5254500.98,5.45,26.44,26,Snow,Rail,72,High
SUPP_002,Electronics,8175164.42,6.64,11.93,52,Storm,Air,60,Medium
SUPP_026,Raw Materials,5420821.57,6.64,17.75,18,Storm,Sea,50,Medium
SUPP_031,Textiles,3945247.0,8.02,2.93,41,Storm,Rail,63,Medium
SUPP_048,Textiles,5451350.64,6.53,10.65,52,Storm,Sea,72,High
SUPP_045,Machinery,6952490.19,2.58,26.48,34,Storm,Sea,74,High
SUPP_017,Raw Materials,7427536.07,8.64,29.93,58,Clear,Air,40,Medium
SUPP_021,Electronics,7084455.59,11.7,5.15,5,Rain,Air,46,Medium
SUPP_014,Machinery,7154937.62,7.46,22.88,55,Storm,Sea,85,High
SUPP_007,Raw Materials,5387989.45,5.74,14.25,53,Storm,Air,78,High
SUPP_024,Raw Materials,5047769.06,8.14,15.1,5,Storm,Road,56,Medium
SUPP_046,Textiles,7730225.71,0.28,18.35,37,Rain,Sea,23,Low
SUPP_003,Electronics,7175981.79,9.03,24.98,11,Storm,Air,62,Medium
SUPP_041,Machinery,5854748.36,6.07,14.4,47,Clear,Road,40,Medium
SUPP_037,Packaging,1575846.46,8.83,15.67,26,Snow,Rail,40,Medium
SUPP_029,Packaging,230196.33,13.09,28.03,37,Rain,Road,70,High
SUPP_017,Machinery,6981675.7,13.85,21.51,43,Clear,Road,76,High
SUPP_026,Machinery,5784069.18,9.14,13.3,30,Clear,Road,28,Low
SUPP_010,Raw Materials,9346951.8,13.89,14.07,47,Storm,Road,79,High
SUPP_016,Electronics,9849169.93,12.6,4.62,58,Snow,Air,60,Medium
SUPP_050,Textiles,8705468.8,7.83,18.15,22,Snow,Rail,54,Medium
SUPP_029,Packaging,594878.31,5.09,24.28,54,Snow,Sea,88,High
SUPP_037,Textiles,1186959.64,6.28,26.04,39,Clear,Road,31,Low
SUPP_049,Raw Materials,4683716.22,7.26,27.64,44,Rain,Sea,71,High
SUPP_043,Electronics,9131857.16,3.8,17.75,53,Rain,Air,30,Low
SUPP_012,Textiles,387097.64,4.74,23.63,44,Clear,Air,51,Medium
SUPP_001,Machinery,2239967.28,3.27,15.94,18,Snow,Rail,49,Medium
SUPP_019,Electronics,4616940.43,8.4,25.96,41,Rain,Sea,76,High
SUPP_046,Packaging,3030979.32,4.72,12.52,52,Snow,Road,73,High
SUPP_044,Raw Materials,8985640.18,3.16,6.53,46,Storm,Air,50,Medium
SUPP_028,Electronics,5670169.28,1.08,23.49,48,Rain,Air,57,Medium
SUPP_018,Raw Materials,5267683.18,6.67,12.62,39,Clear,Road,33,Low
SUPP_011,Packaging,1594640.45,2.81,25.99,40,Storm,Rail,47,Medium
SUPP_008,Machinery,3764427.7,4.13,19.68,34,Storm,Rail,52,Medium
SUPP_018,Textiles,9790367.78,12.61,26.14,9,Snow,Rail,70,High
SUPP_006,Textiles,5539639.82,3.88,6.69,9,Clear,Rail,11,Low
SUPP_048,Packaging,3425748.9,8.58,26.74,29,Storm,Road,74,High
SUPP_006,Raw Materials,7222090.31,12.1,29.67,33,Clear,Sea,73,High
SUPP_037,Electronics,8078158.98,14.44,28.39,55,Rain,Rail,85,High
SUPP_034,Machinery,4093603.47,4.93,3.52,11,Storm,Air,26,Low
SUPP_038,Machinery,7372250.9,12.74,4.56,20,Snow,Road,53,Medium
SUPP_031,Packaging,6447109.36,10.59,27.41,6,Snow,Sea,99,High
SUPP_021,Electronics,3391865.28,12.39,11.53,56,Rain,Sea,71,High
SUPP_027,Machinery,8315012.34,5.24,23.44,10,Storm,Rail,56,Medium
SUPP_049,Textiles,8617626.8,3.37,29.26,45,Clear,Rail,53,Medium
SUPP_006,Packaging,1186667.36,8.53,29.58,24,Storm,Sea,81,High
SUPP_008,Machinery,4873544.75,7.74,22.51,3,Clear,Rail,37,Medium
SUPP_027,Electronics,4055372.93,3.35,19.71,47,Rain,Sea,38,Medium
SUPP_040,Machinery,1366148.3,13.52,21.05,38,Snow,Road,85,High
SUPP_014,Packaging,8234709.57,7.99,24.64,42,Rain,Sea,65,Medium
SUPP_029,Machinery,718395.23,6.14,15.43,13,Clear,Road,37,Medium
SUPP_041,Textiles,1110458.36,2.19,8.65,32,Rain,Air,5,Low
SUPP_020,Textiles,7335236.56,3.84,19.36,54,Clear,Rail,21,Low
SUPP_006,Raw Materials,5754279.06,12.59,12.73,59,Clear,Rail,53,Medium
SUPP_008,Raw Materials,517311.37,2.58,22.4,52,Snow,Sea,90,High
SUPP_033,Packaging,6051363.49,3.76,12.29,41,Snow,Rail,55,Medium
SUPP_031,Raw Materials,3588943.53,10.81,9.62,36,Snow,Air,66,High
SUPP_025,Raw Materials,4786701.5,9.99,28.17,6,Rain,Road,63,Medium
SUPP_018,Machinery,2188656.77,0.56,8.61,36,Storm,Sea,49,Medium
SUPP_001,Packaging,561686.84,7.5,18.31,35,Storm,Rail,48,Medium
SUPP_010,Machinery,7720576.43,1.69,3.18,18,Snow,Sea,30,Low
SUPP_022,Textiles,4980138.6,10.36,13.61,40,Snow,Rail,57,Medium
SUPP_021,Raw Materials,8200068.06,12.01,21.15,31,Rain,Rail,55,Medium
SUPP_015,Machinery,5922795.14,5.48,3.66,50,Clear,Sea,41,Medium
SUPP_048,Machinery,9504861.67,6.75,6.37,17,Snow,Rail,53,Medium
SUPP_043,Raw Materials,7596004.52,9.62,23.01,38,Snow,Road,81,High
SUPP_009,Textiles,6390454.22,14.71,27.2,13,Storm,Road,89,High
SUPP_029,Electronics,6947093.35,0.87,20.43,33,Snow,Road,59,Medium
SUPP_047,Raw Materials,5903224.38,14.99,17.12,23,Snow,Air,61,Medium
SUPP_005,Machinery,387762.49,10.49,9.62,49,Storm,Sea,77,High
SUPP_040,Machinery,9712029.54,14.17,14.75,31,Clear,Sea,54,Medium
SUPP_044,Textiles,8453266.52,4.85,25.04,18,Snow,Sea,68,High
SUPP_041,Machinery,5982885.29,3.53,4.5,35,Clear,Road,0,Low
SUPP_016,Packaging,6978073.32,5.16,22.02,45,Rain,Road,61,Medium
SUPP_028,Electronics,3187138.86,8.14,23.93,26,Clear,Rail,37,Medium
SUPP_011,Packaging,6277619.2,13.3,18.86,3,Clear,Road,52,Medium
SUPP_021,Electronics,4646331.36,14.86,1.01,14,Storm,Sea,67,High
SUPP_024,Machinery,3870440.7,14.0,3.03,47,Rain,Air,59,Medium
SUPP_034,Machinery,574204.17,1.42,2.09,45,Rain,Air,39,Medium
SUPP_012,Electronics,5828534.21,4.15,12.55,31,Snow,Air,54,Medium
SUPP_032,Textiles,3396886.12,7.89,22.24,50,Rain,Air,52,Medium
SUPP_030,Packaging,4699742.13,4.53,25.73,19,Snow,Sea,59,Medium
SUPP_043,Electronics,468827.24,0.37,29.64,10,Snow,Sea,69,High
SUPP_044,Textiles,3874050.14,10.23,7.33,59,Rain,Road,49,Medium
SUPP_029,Packaging,7874132.89,1.43,13.11,57,Storm,Rail,58,Medium
SUPP_045,Packaging,6027944.54,13.57,29.69,8,Snow,Sea,99,High
SUPP_013,Machinery,696614.77,6.08,25.3,55,Snow,Road,95,High
SUPP_016,Machinery,8314893.05,1.89,2.36,58,Storm,Sea,53,Medium
SUPP_045,Packaging,1905060.71,11.72,11.15,6,Clear,Rail,46,Medium
SUPP_018,Electronics,9692571.17,13.27,27.9,59,Clear,Rail,71,High
SUPP_019,Raw Materials,1780257.73,6.0,22.99,18,Storm,Air,78,High
SUPP_041,Raw Materials,8979489.67,7.0,19.07,48,Storm,Air,79,High
SUPP_041,Electronics,5949752.35,8.74,3.65,42,Clear,Sea,48,Medium
SUPP_029,Electronics,2692720.42,2.03,26.77,26,Storm,Air,46,Medium
SUPP_006,Packaging,8628169.79,12.16,20.0,6,Storm,Rail,65,Medium
SUPP_012,Raw Materials,915518.26,6.19,11.81,9,Rain,Sea,34,Low
SUPP_034,Textiles,535396.64,8.04,28.9,49,Storm,Air,82,High
SUPP_017,Machinery,8950075.31,14.87,2.78,46,Storm,Sea,88,High
SUPP_008,Machinery,8255575.61,5.28,20.66,28,Clear,Air,37,Medium
SUPP_049,Raw Materials,2706931.29,13.19,24.13,41,Snow,Sea,95,High
SUPP_006,Machinery,1615539.56,2.49,10.69,46,Clear,Sea,49,Medium
SUPP_035,Electronics,9304398.99,1.68,21.27,8,Snow,Sea,59,Medium
SUPP_044,Packaging,8814664.05,13.09,1.85,24,Snow,Sea,64,Medium
SUPP_007,Raw Materials,1332255.18,5.09,22.56,32,Snow,Road,77,High
SUPP_040,Textiles,8188771.89,12.5,15.72,40,Storm,Air,56,Medium
SUPP_042,Electronics,2906029.43,9.29,29.45,18,Snow,Sea,72,High
SUPP_042,Machinery,2635045.63,9.55,16.66,36,Clear,Air,25,Low
SUPP_003,Electronics,1114457.36,11.44,16.7,33,Storm,Rail,56,Medium
SUPP_008,Electronics,3451628.05,9.53,28.03,30,Rain,Air,56,Medium
SUPP_025,Machinery,9375423.45,10.35,2.97,28,Storm,Rail,61,Medium
SUPP_038,Raw Materials,7721293.71,10.66,14.73,23,Snow,Road,83,High
SUPP_032,Textiles,505133.24,13.09,29.23,30,Snow,Sea,91,High
SUPP_003,Packaging,7509035.73,2.04,22.99,8,Rain,Rail,35,Low
SUPP_029,Raw Materials,8224053.83,5.64,24.74,12,Storm,Road,82,High
SUPP_044,Packaging,4486731.93,4.18,29.92,18,Storm,Road,52,Medium
SUPP_026,Packaging,4541300.89,2.54,24.05,30,Rain,Road,40,Medium
SUPP_030,Electronics,2246657.65,1.33,20.73,23,Rain,Road,40,Medium
SUPP_004,Packaging,2768932.29,14.27,5.38,29,Rain,Air,45,Medium
SUPP_037,Raw Materials,9099768.88,12.87,28.97,20,Clear,Air,64,Medium
SUPP_038,Raw Materials,4450872.69,4.75,10.3,39,Rain,Sea,34,Low
SUPP_050,Raw Materials,7471078.27,3.09,26.18,25,Clear,Sea,36,Medium
SUPP_010,Raw Materials,5649365.35,7.13,16.75,47,Storm,Air,79,High
SUPP_008,Electronics,8692800.52,11.67,23.36,47,Rain,Road,87,High
SUPP_023,Raw Materials,7622188.71,9.43,4.81,54,Storm,Road,73,High
SUPP_012,Packaging,9212436.09,9.29,24.1,26,Clear,Air,38,Medium
SUPP_048,Machinery,6003356.29,9.15,8.18,10,Clear,Road,10,Low
SUPP_031,Machinery,2294124.42,2.5,19.89,54,Storm,Road,70,High
SUPP_029,Textiles,5923126.19,6.56,29.55,18,Rain,Road,47,Medium
SUPP_047,Textiles,4672756.04,10.24,12.47,48,Storm,Rail,75,High
SUPP_042,Electronics,2952042.66,10.46,25.94,39,Clear,Rail,48,Medium
SUPP_026,Machinery,444207.31,7.26,4.04,18,Clear,Rail,11,Low
SUPP_046,Machinery,9867292.8,2.22,15.47,23,Clear,Road,24,Low
SUPP_021,Textiles,3492864.85,11.66,28.3,34,Rain,Road,56,Medium
SUPP_009,Packaging,5365709.95,13.25,3.39,14,Storm,Rail,64,Medium
SUPP_039,Textiles,3610123.44,4.9,29.35,27,Storm,Rail,58,Medium
SUPP_033,Textiles,6947279.71,12.34,2.19,45,Snow,Road,81,High
SUPP_045,Electronics,9517922.24,1.95,26.99,10,Rain,Rail,30,Low
SUPP_029,Raw Materials,6185215.59,9.23,9.67,13,Snow,Sea,47,Medium
SUPP_030,Machinery,9476137.1,9.42,23.72,48,Snow,Road,81,High
SUPP_021,Machinery,6625160.18,8.34,18.33,23,Storm,Sea,52,Medium
SUPP_024,Raw Materials,455503.36,2.54,13.72,19,Snow,Road,56,Medium
SUPP_006,Electronics,5953122.55,9.79,14.9,52,Clear,Rail,43,Medium
SUPP_007,Packaging,9759859.3,5.12,6.28,56,Rain,Road,50,Medium
SUPP_038,Textiles,6604142.37,7.52,17.11,19,Storm,Road,63,Medium
SUPP_027,Packaging,2323124.68,14.95,29.27,4,Snow,Road,84,High
SUPP_019,Textiles,4062450.54,3.39,13.13,16,Storm,Sea,40,Medium
SUPP_007,Textiles,8412501.44,2.7,28.86,59,Rain,Air,63,Medium
SUPP_043,Machinery,4283658.68,5.25,11.76,21,Rain,Road,48,Medium
SUPP_023,Textiles,5455840.21,7.76,18.05,59,Storm,Road,80,High
SUPP_049,Packaging,3985375.94,9.13,18.33,37,Rain,Rail,25,Low
SUPP_036,Textiles,6567342.92,14.88,9.23,13,Clear,Sea,27,Low
SUPP_002,Raw Materials,6248517.51,9.51,22.26,36,Storm,Sea,72,High
SUPP_022,Packaging,4082836.32,9.07,19.34,15,Clear,Air,23,Low
SUPP_010,Textiles,5150521.29,6.25,3.0,42,Snow,Road,71,High
SUPP_010,Electronics,8713961.52,6.74,15.93,26,Clear,Air,29,Low
SUPP_025,Machinery,5949860.97,2.54,12.34,58,Snow,Sea,56,Medium
SUPP_011,Packaging,8586963.23,0.23,18.06,13,Storm,Sea,63,Medium
SUPP_050,Textiles,3996764.77,3.63,7.81,11,Clear,Road,0,Low
SUPP_010,Raw Materials,4448142.52,5.03,14.01,13,Clear,Road,23,Low
SUPP_018,Machinery,4337330.86,3.81,18.9,2,Snow,Rail,54,Medium
SUPP_039,Machinery,1712066.98,2.6,2.06,38,Snow,Sea,44,Medium
SUPP_014,Textiles,6654855.05,7.17,25.48,45,Clear,Sea,73,High
SUPP_028,Electronics,5874275.93,13.04,6.97,21,Storm,Rail,62,Medium
